,Unnamed: 0,id_x,id_y,TF
565,565,lyr_09467,mil_0966,True
1023,1023,lyr_09720,mil_3291,True
433,433,lyr_11198,mil_2069,True
776,776,lyr_00364,mil_0364,False
333,333,lyr_09623,mil_1398,True
962,962,lyr_00322,mil_0322,False
1017,1017,lyr_00375,mil_0375,False
160,160,lyr_09552,mil_0565,True
717,717,lyr_09940,mil_0674,True
553,553,lyr_09590,mil_4202,True
13,13,lyr_00054,mil_0054,False
274,274,lyr_00159,mil_0159,False
190,190,lyr_00442,mil_0442,False
502,502,lyr_09545,mil_3568,True
597,597,lyr_09523,mil_0565,True
1437,1437,lyr_09450,mil_3341,True
1346,1346,lyr_09946,mil_2511,True
407,407,lyr_09547,mil_4420,True
600,600,lyr_11238,mil_3060,True
985,985,lyr_09499,mil_3568,True
17,17,lyr_09526,mil_1516,True
641,641,lyr_11193,mil_2239,True
1217,1217,lyr_00344,mil_0344,False
968,968,lyr_09450,mil_3110,True
1461,1461,lyr_00027,mil_0027,False
14,14,lyr_09553,mil_1585,True
979,979,lyr_00223,mil_0223,False
1263,1263,lyr_09526,mil_4420,True
1331,1331,lyr_09450,mil_1173,True
1531,1531,lyr_09531,mil_3341,True
129,129,lyr_09697,mil_3291,True
110,110,lyr_00190,mil_0190,False
536,536,lyr_09908,mil_0939,True
535,535,lyr_11232,mil_1598,True
1133,1133,lyr_09452,mil_1398,True
621,621,lyr_09499,mil_3974,True
900,900,lyr_09917,mil_2511,True
1483,1483,lyr_09526,mil_3110,True
760,760,lyr_09908,mil_3346,True
726,726,lyr_09597,mil_3079,True
77,77,lyr_00139,mil_0139,False
1544,1544,lyr_00059,mil_0059,False
923,923,lyr_09938,mil_3412,True
896,896,lyr_11242,mil_2069,True
789,789,lyr_00192,mil_0192,False
1384,1384,lyr_11286,mil_3974,True
1273,1273,lyr_09940,mil_2603,True
667,667,lyr_00122,mil_0122,False
92,92,lyr_09452,mil_4617,True
203,203,lyr_00475,mil_0475,False
1356,1356,lyr_00411,mil_0411,False
738,738,lyr_09539,mil_1672,True
528,528,lyr_09629,mil_3291,True
159,159,lyr_09450,mil_1672,True
819,819,lyr_09947,mil_4436,True
1565,1565,lyr_11190,mil_3586,True
1328,1328,lyr_09933,mil_1778,True
1234,1234,lyr_00283,mil_0283,False
1515,1515,lyr_11286,mil_4617,True
1159,1159,lyr_09933,mil_0238,True
1321,1321,lyr_11235,mil_3272,True
320,320,lyr_11289,mil_3341,True
785,785,lyr_09531,mil_1192,True
614,614,lyr_11263,mil_2705,True
657,657,lyr_11262,mil_3861,True
25,25,lyr_11188,mil_1192,True
147,147,lyr_09547,mil_3079,True
336,336,lyr_11232,mil_3272,True
580,580,lyr_11235,mil_2239,True
1274,1274,lyr_00102,mil_0102,False
284,284,lyr_09921,mil_3310,True
1170,1170,lyr_11286,mil_1672,True
881,881,lyr_09947,mil_3568,True
1498,1498,lyr_09450,mil_4436,True
1204,1204,lyr_09576,mil_2603,True
423,423,lyr_09536,mil_4763,True
434,434,lyr_09526,mil_4669,True
543,543,lyr_09501,mil_2694,True
866,866,lyr_00295,mil_0295,False
858,858,lyr_09917,mil_3272,True
721,721,lyr_00452,mil_0452,False
1079,1079,lyr_09946,mil_0035,True
741,741,lyr_09452,mil_3124,True
804,804,lyr_09499,mil_4345,True
124,124,lyr_09514,mil_0793,True
811,811,lyr_11286,mil_1173,True
1473,1473,lyr_09539,mil_4763,True
1104,1104,lyr_09620,mil_2159,True
566,566,lyr_09607,mil_3412,True
840,840,lyr_00326,mil_0326,False
106,106,lyr_00143,mil_0143,False
98,98,lyr_09946,mil_2159,True
1494,1494,lyr_09425,mil_2603,True
996,996,lyr_00303,mil_0303,False
1510,1510,lyr_09842,mil_3291,True
1543,1543,lyr_09545,mil_4436,True
1018,1018,lyr_00404,mil_0404,False
145,145,lyr_09597,mil_4420,True
575,575,lyr_09576,mil_0238,True
1244,1244,lyr_00327,mil_0327,False
1392,1392,lyr_09476,mil_1778,True
213,213,lyr_09499,mil_4617,True
516,516,lyr_09425,mil_0035,True
609,609,lyr_11209,mil_2239,True
1169,1169,lyr_00387,mil_0387,False
35,35,lyr_00185,mil_0185,False
162,162,lyr_09614,mil_0758,True
1210,1210,lyr_00435,mil_0435,False
1294,1294,lyr_00287,mil_0287,False
256,256,lyr_09609,mil_1007,True
588,588,lyr_09476,mil_3272,True
851,851,lyr_09523,mil_0626,True
358,358,lyr_09539,mil_4345,True
1511,1511,lyr_00255,mil_0255,False
682,682,lyr_09938,mil_3125,True
970,970,lyr_00371,mil_0371,False
631,631,lyr_11274,mil_0676,True
984,984,lyr_09576,mil_2159,True
564,564,lyr_09729,mil_3252,True
677,677,lyr_09620,mil_0674,True
1554,1554,lyr_09499,mil_0565,True
699,699,lyr_11274,mil_1448,True
355,355,lyr_09531,mil_4763,True
732,732,lyr_11188,mil_0966,True
578,578,lyr_09526,mil_0626,True
30,30,lyr_00069,mil_0069,False
1417,1417,lyr_00389,mil_0389,False
310,310,lyr_00397,mil_0397,False
1035,1035,lyr_09440,mil_3244,True
554,554,lyr_11235,mil_0676,True
886,886,lyr_09597,mil_4669,True
426,426,lyr_09536,mil_0626,True
1033,1033,lyr_09946,mil_4448,True
368,368,lyr_09467,mil_1296,True
1221,1221,lyr_09552,mil_0626,True
704,704,lyr_00454,mil_0454,False
306,306,lyr_09536,mil_0565,True
813,813,lyr_00248,mil_0248,False
1429,1429,lyr_11188,mil_4436,True
608,608,lyr_00214,mil_0214,False
1264,1264,lyr_09536,mil_0966,True
283,283,lyr_09931,mil_1256,True
454,454,lyr_09938,mil_3127,True
1490,1490,lyr_11193,mil_0674,True
476,476,lyr_09527,mil_3110,True
1098,1098,lyr_11188,mil_1296,True
825,825,lyr_09527,mil_0966,True
363,363,lyr_00419,mil_0419,False
766,766,lyr_09476,mil_1448,True
1287,1287,lyr_09526,mil_2694,True
756,756,lyr_09583,mil_1851,True
149,149,lyr_09501,mil_2643,True
489,489,lyr_00213,mil_0213,False
327,327,lyr_09536,mil_1192,True
1093,1093,lyr_00300,mil_0300,False
700,700,lyr_09467,mil_4345,True
278,278,lyr_11275,mil_1598,True
1446,1446,lyr_09680,mil_3291,True
1039,1039,lyr_09476,mil_1598,True
196,196,lyr_09946,mil_3412,True
85,85,lyr_00235,mil_0235,False
20,20,lyr_00169,mil_0169,False
1422,1422,lyr_09527,mil_2694,True
1059,1059,lyr_09501,mil_4345,True
1566,1566,lyr_00225,mil_0225,False
1168,1168,lyr_09933,mil_2511,True
1450,1450,lyr_09656,mil_3291,True
892,892,lyr_09469,mil_3491,True
1211,1211,lyr_11235,mil_3412,True
878,878,lyr_09523,mil_1672,True
701,701,lyr_00471,mil_0471,False
754,754,lyr_00381,mil_0381,False
912,912,lyr_00267,mil_0267,False
1205,1205,lyr_09450,mil_1296,True
183,183,lyr_11198,mil_2669,True
125,125,lyr_00302,mil_0302,False
204,204,lyr_09597,mil_4617,True
1487,1487,lyr_09463,mil_4010,True
116,116,lyr_00461,mil_0461,False
345,345,lyr_00007,mil_0007,False
1115,1115,lyr_11286,mil_0565,True
884,884,lyr_00334,mil_0334,False
1015,1015,lyr_00012,mil_0012,False
1482,1482,lyr_09471,mil_1585,True
1537,1537,lyr_09547,mil_1516,True
171,171,lyr_00429,mil_0429,False
1268,1268,lyr_00113,mil_0113,False
270,270,lyr_09946,mil_1778,True
174,174,lyr_09583,mil_1995,True
1360,1360,lyr_09620,mil_1435,True
830,830,lyr_09946,mil_0238,True
541,541,lyr_00174,mil_0174,False
1447,1447,lyr_09518,mil_0948,True
1468,1468,lyr_09620,mil_1598,True
1199,1199,lyr_09501,mil_3079,True
1342,1342,lyr_11271,mil_2417,True
1425,1425,lyr_09933,mil_2159,True
874,874,lyr_00020,mil_0020,False
139,139,lyr_00408,mil_0408,False
1245,1245,lyr_09604,mil_3244,True
254,254,lyr_09639,mil_3252,True
1194,1194,lyr_09467,mil_3974,True
993,993,lyr_00400,mil_0400,False
373,373,lyr_09575,mil_1778,True
1567,1567,lyr_09933,mil_3127,True
1459,1459,lyr_09938,mil_3272,True
1242,1242,lyr_09597,mil_4436,True
474,474,lyr_00321,mil_0321,False
119,119,lyr_00426,mil_0426,False
649,649,lyr_09452,mil_4669,True
464,464,lyr_00485,mil_0485,False
178,178,lyr_00055,mil_0055,False
842,842,lyr_00436,mil_0436,False
1247,1247,lyr_09940,mil_2239,True
680,680,lyr_09538,mil_4431,True
301,301,lyr_00184,mil_0184,False
976,976,lyr_00117,mil_0117,False
648,648,lyr_00231,mil_0231,False
663,663,lyr_09450,mil_4763,True
127,127,lyr_11196,mil_2678,True
76,76,lyr_11286,mil_3110,True
727,727,lyr_00450,mil_0450,False
120,120,lyr_11232,mil_0674,True
599,599,lyr_00276,mil_0276,False
520,520,lyr_00126,mil_0126,False
1414,1414,lyr_09552,mil_3341,True
229,229,lyr_11232,mil_1778,True
1495,1495,lyr_00383,mil_0383,False
428,428,lyr_09499,mil_3079,True
619,619,lyr_09947,mil_4617,True
1162,1162,lyr_09630,mil_3291,True
1074,1074,lyr_09575,mil_3412,True
882,882,lyr_09597,mil_1516,True
201,201,lyr_09620,mil_1448,True
1132,1132,lyr_09947,mil_1672,True
304,304,lyr_00335,mil_0335,False
1355,1355,lyr_09469,mil_2069,True
907,907,lyr_11275,mil_1778,True
731,731,lyr_00265,mil_0265,False
217,217,lyr_09501,mil_3341,True
945,945,lyr_09907,mil_3291,True
66,66,lyr_00266,mil_0266,False
860,860,lyr_09623,mil_4763,True
1068,1068,lyr_09467,mil_1173,True
532,532,lyr_00019,mil_0019,False
876,876,lyr_09545,mil_0565,True
887,887,lyr_00332,mil_0332,False
1479,1479,lyr_11289,mil_3974,True
175,175,lyr_00070,mil_0070,False
940,940,lyr_09938,mil_1598,True
781,781,lyr_09536,mil_1398,True
692,692,lyr_09476,mil_0035,True
867,867,lyr_00299,mil_0299,False
1164,1164,lyr_00325,mil_0325,False
49,49,lyr_00157,mil_0157,False
282,282,lyr_11188,mil_3974,True
1101,1101,lyr_09947,mil_2643,True
576,576,lyr_09743,mil_3291,True
610,610,lyr_11242,mil_3043,True
1353,1353,lyr_11286,mil_0966,True
1066,1066,lyr_09431,mil_2678,True
1122,1122,lyr_09539,mil_1173,True
567,567,lyr_11190,mil_3687,True
779,779,lyr_09463,mil_4097,True
1409,1409,lyr_00304,mil_0304,False
314,314,lyr_09523,mil_4617,True
439,439,lyr_00175,mil_0175,False
350,350,lyr_09457,mil_2669,True
772,772,lyr_11289,mil_1672,True
1289,1289,lyr_00264,mil_0264,False
987,987,lyr_09801,mil_3291,True
831,831,lyr_11235,mil_1435,True
560,560,lyr_09559,mil_4769,True
488,488,lyr_09523,mil_3568,True
655,655,lyr_09538,mil_4276,True
1433,1433,lyr_00160,mil_0160,False
308,308,lyr_09937,mil_2669,True
148,148,lyr_09547,mil_2694,True
1311,1311,lyr_09425,mil_2159,True
1135,1135,lyr_00345,mil_0345,False
903,903,lyr_09607,mil_2159,True
1489,1489,lyr_09430,mil_4202,True
990,990,lyr_11196,mil_4769,True
1516,1516,lyr_00388,mil_0388,False
913,913,lyr_11275,mil_0676,True
31,31,lyr_09501,mil_4617,True
394,394,lyr_09523,mil_4420,True
375,375,lyr_00050,mil_0050,False
1348,1348,lyr_00391,mil_0391,False
1372,1372,lyr_09537,mil_4552,True
595,595,lyr_00081,mil_0081,False
757,757,lyr_09476,mil_2239,True
1444,1444,lyr_09576,mil_3412,True
108,108,lyr_00138,mil_0138,False
1493,1493,lyr_09467,mil_4420,True
51,51,lyr_00026,mil_0026,False
1163,1163,lyr_09623,mil_4436,True
1229,1229,lyr_09476,mil_3412,True
739,739,lyr_00106,mil_0106,False
400,400,lyr_00363,mil_0363,False
1084,1084,lyr_09778,mil_3252,True
421,421,lyr_09623,mil_3341,True
115,115,lyr_00382,mil_0382,False
1322,1322,lyr_09450,mil_1398,True
812,812,lyr_09501,mil_1516,True
303,303,lyr_09499,mil_1516,True
1010,1010,lyr_09649,mil_3252,True
1213,1213,lyr_00286,mil_0286,False
1410,1410,lyr_09576,mil_0035,True
1020,1020,lyr_09452,mil_0565,True
911,911,lyr_09623,mil_3568,True
288,288,lyr_09609,mil_2751,True
604,604,lyr_00489,mil_0489,False
1457,1457,lyr_00068,mil_0068,False
257,257,lyr_00474,mil_0474,False
226,226,lyr_00337,mil_0337,False
1364,1364,lyr_00405,mil_0405,False
708,708,lyr_09536,mil_4420,True
164,164,lyr_09946,mil_0676,True
624,624,lyr_00393,mil_0393,False
1547,1547,lyr_09539,mil_3568,True
444,444,lyr_09597,mil_1173,True
216,216,lyr_09619,mil_1672,True
787,787,lyr_00379,mil_0379,False
1475,1475,lyr_11238,mil_1255,True
131,131,lyr_00340,mil_0340,False
638,638,lyr_09539,mil_1296,True
1177,1177,lyr_11240,mil_2417,True
1043,1043,lyr_00263,mil_0263,False
1350,1350,lyr_09531,mil_0966,True
102,102,lyr_09517,mil_2584,True
1466,1466,lyr_00438,mil_0438,False
1480,1480,lyr_09552,mil_1672,True
388,388,lyr_09523,mil_4669,True
191,191,lyr_00373,mil_0373,False
266,266,lyr_00228,mil_0228,False
901,901,lyr_00100,mil_0100,False
540,540,lyr_00279,mil_0279,False
594,594,lyr_00109,mil_0109,False
1197,1197,lyr_11203,mil_2806,True
561,561,lyr_00384,mil_0384,False
1174,1174,lyr_00079,mil_0079,False
356,356,lyr_00073,mil_0073,False
767,767,lyr_11209,mil_2159,True
1323,1323,lyr_09501,mil_1296,True
927,927,lyr_11269,mil_4487,True
1320,1320,lyr_00356,mil_0356,False
1189,1189,lyr_09745,mil_3291,True
777,777,lyr_11286,mil_2643,True
1277,1277,lyr_09477,mil_3400,True
803,803,lyr_00372,mil_0372,False
761,761,lyr_00463,mil_0463,False
1438,1438,lyr_11188,mil_3079,True
1266,1266,lyr_09917,mil_1448,True
378,378,lyr_09499,mil_4420,True
885,885,lyr_11262,mil_3969,True
1551,1551,lyr_09539,mil_3124,True
603,603,lyr_09495,mil_1173,True
1014,1014,lyr_09796,mil_3291,True
1276,1276,lyr_09619,mil_0626,True
313,313,lyr_09575,mil_2603,True
480,480,lyr_09495,mil_4420,True
579,579,lyr_09946,mil_3272,True
60,60,lyr_09481,mil_1851,True
61,61,lyr_09536,mil_1672,True
83,83,lyr_00427,mil_0427,False
1073,1073,lyr_11238,mil_2669,True
963,963,lyr_09531,mil_1173,True
1072,1072,lyr_00028,mil_0028,False
198,198,lyr_09547,mil_3568,True
1549,1549,lyr_11207,mil_3861,True
1367,1367,lyr_00030,mil_0030,False
788,788,lyr_11275,mil_4448,True
1080,1080,lyr_11209,mil_1435,True
1128,1128,lyr_00292,mil_0292,False
422,422,lyr_00348,mil_0348,False
686,686,lyr_09536,mil_2694,True
1024,1024,lyr_11193,mil_0035,True
260,260,lyr_00186,mil_0186,False
1109,1109,lyr_00476,mil_0476,False
1500,1500,lyr_11279,mil_1255,True
58,58,lyr_00052,mil_0052,False
437,437,lyr_09499,mil_1192,True
317,317,lyr_00409,mil_0409,False
75,75,lyr_09917,mil_2239,True
46,46,lyr_09575,mil_2159,True
929,929,lyr_00032,mil_0032,False
922,922,lyr_09575,mil_1448,True
1285,1285,lyr_09679,mil_3291,True
720,720,lyr_09452,mil_4436,True
611,611,lyr_09623,mil_0565,True
478,478,lyr_00365,mil_0365,False
671,671,lyr_00150,mil_0150,False
443,443,lyr_11286,mil_1516,True
352,352,lyr_09545,mil_4669,True
558,558,lyr_09536,mil_4345,True
245,245,lyr_11209,mil_0676,True
398,398,lyr_09452,mil_1672,True
1313,1313,lyr_09937,mil_3491,True
144,144,lyr_00215,mil_0215,False
1462,1462,lyr_00162,mil_0162,False
493,493,lyr_09531,mil_3568,True
1280,1280,lyr_11193,mil_1778,True
893,893,lyr_11232,mil_0676,True
295,295,lyr_09495,mil_4763,True
18,18,lyr_09531,mil_3124,True
142,142,lyr_00036,mil_0036,False
156,156,lyr_09431,mil_3801,True
269,269,lyr_09623,mil_3110,True
1286,1286,lyr_00498,mil_0498,False
997,997,lyr_00194,mil_0194,False
821,821,lyr_11193,mil_3412,True
19,19,lyr_09938,mil_1435,True
220,220,lyr_09619,mil_3079,True
1528,1528,lyr_00041,mil_0041,False
769,769,lyr_09696,mil_3291,True
918,918,lyr_09496,mil_4097,True
1536,1536,lyr_09476,mil_0676,True
950,950,lyr_09947,mil_0626,True
1086,1086,lyr_00260,mil_0260,False
285,285,lyr_11218,mil_2069,True
1569,1569,lyr_09501,mil_0966,True
362,362,lyr_00008,mil_0008,False
1008,1008,lyr_09549,mil_1007,True
1455,1455,lyr_11232,mil_3412,True
1110,1110,lyr_09567,mil_1943,True
1297,1297,lyr_11274,mil_0035,True
770,770,lyr_00222,mil_0222,False
646,646,lyr_00353,mil_0353,False
773,773,lyr_11286,mil_4436,True
1366,1366,lyr_09538,mil_3586,True
235,235,lyr_09619,mil_4617,True
930,930,lyr_00156,mil_0156,False
484,484,lyr_09938,mil_1778,True
225,225,lyr_09523,mil_3341,True
957,957,lyr_00457,mil_0457,False
513,513,lyr_00362,mil_0362,False
69,69,lyr_09452,mil_3974,True
557,557,lyr_00057,mil_0057,False
690,690,lyr_09425,mil_1435,True
247,247,lyr_09495,mil_3568,True
1541,1541,lyr_00402,mil_0402,False
1025,1025,lyr_00217,mil_0217,False
828,828,lyr_00038,mil_0038,False
1470,1470,lyr_09575,mil_0676,True
248,248,lyr_09425,mil_3412,True
1222,1222,lyr_11289,mil_4763,True
1218,1218,lyr_09527,mil_0626,True
967,967,lyr_09536,mil_4436,True
472,472,lyr_09531,mil_4420,True
926,926,lyr_09527,mil_1296,True
1540,1540,lyr_09583,mil_3801,True
1393,1393,lyr_09940,mil_0238,True
531,531,lyr_09495,mil_2694,True
495,495,lyr_11289,mil_0966,True
807,807,lyr_11289,mil_4669,True
1506,1506,lyr_00205,mil_0205,False
581,581,lyr_00294,mil_0294,False
824,824,lyr_09545,mil_2694,True
969,969,lyr_09619,mil_4669,True
764,764,lyr_00053,mil_0053,False
276,276,lyr_09917,mil_0238,True
706,706,lyr_09527,mil_1398,True
1064,1064,lyr_09425,mil_1448,True
286,286,lyr_11269,mil_1454,True
26,26,lyr_09463,mil_3348,True
1440,1440,lyr_11188,mil_2694,True
814,814,lyr_00010,mil_0010,False
457,457,lyr_09526,mil_3124,True
1420,1420,lyr_09583,mil_4769,True
1151,1151,lyr_00153,mil_0153,False
1303,1303,lyr_09527,mil_4345,True
747,747,lyr_00386,mil_0386,False
372,372,lyr_00418,mil_0418,False
1485,1485,lyr_00252,mil_0252,False
1448,1448,lyr_09917,mil_3412,True
620,620,lyr_11188,mil_2643,True
1257,1257,lyr_00431,mil_0431,False
1359,1359,lyr_00280,mil_0280,False
122,122,lyr_00310,mil_0310,False
497,497,lyr_00415,mil_0415,False
853,853,lyr_00049,mil_0049,False
251,251,lyr_00370,mil_0370,False
1155,1155,lyr_09527,mil_3974,True
430,430,lyr_09940,mil_1448,True
909,909,lyr_09545,mil_3079,True
859,859,lyr_09576,mil_2239,True
93,93,lyr_09559,mil_2678,True
1401,1401,lyr_09575,mil_0674,True
572,572,lyr_11289,mil_3079,True
236,236,lyr_09450,mil_1192,True
988,988,lyr_11232,mil_4448,True
323,323,lyr_00090,mil_0090,False
211,211,lyr_09539,mil_4669,True
357,357,lyr_09933,mil_1448,True
1504,1504,lyr_00483,mil_0483,False
1474,1474,lyr_09669,mil_3291,True
1105,1105,lyr_09526,mil_1173,True
1522,1522,lyr_09501,mil_0565,True
354,354,lyr_09547,mil_3974,True
873,873,lyr_00146,mil_0146,False
418,418,lyr_00432,mil_0432,False
52,52,lyr_00366,mil_0366,False
1424,1424,lyr_09452,mil_4420,True
1243,1243,lyr_11193,mil_2603,True
1139,1139,lyr_11275,mil_3412,True
1357,1357,lyr_11050,mil_2193,True
1250,1250,lyr_09938,mil_0035,True
972,972,lyr_09531,mil_3079,True
570,570,lyr_11188,mil_1173,True
41,41,lyr_09620,mil_2511,True
661,661,lyr_09620,mil_4448,True
403,403,lyr_11238,mil_3491,True
1089,1089,lyr_09623,mil_3974,True
1193,1193,lyr_11217,mil_3491,True
1298,1298,lyr_00499,mil_0499,False
1281,1281,lyr_11235,mil_0035,True
869,869,lyr_09576,mil_1435,True
855,855,lyr_09575,mil_3272,True
152,152,lyr_09495,mil_4669,True
89,89,lyr_00328,mil_0328,False
1464,1464,lyr_09481,mil_1995,True
1343,1343,lyr_09501,mil_3124,True
905,905,lyr_00207,mil_0207,False
238,238,lyr_09506,mil_1505,True
751,751,lyr_09531,mil_1296,True
1241,1241,lyr_09590,mil_4010,True
498,498,lyr_00189,mil_0189,False
318,318,lyr_09526,mil_4763,True
768,768,lyr_09425,mil_0238,True
1031,1031,lyr_09481,mil_2678,True
1460,1460,lyr_09450,mil_4669,True
1120,1120,lyr_09495,mil_3079,True
1509,1509,lyr_09552,mil_1192,True
1111,1111,lyr_09947,mil_3341,True
10,10,lyr_09933,mil_0035,True
1560,1560,lyr_09947,mil_3079,True
1502,1502,lyr_11263,mil_2710,True
387,387,lyr_09917,mil_1435,True
1476,1476,lyr_11217,mil_3060,True
1405,1405,lyr_00021,mil_0021,False
261,261,lyr_09495,mil_3110,True
1524,1524,lyr_09545,mil_3124,True
393,393,lyr_00168,mil_0168,False
95,95,lyr_09486,mil_1963,True
978,978,lyr_09526,mil_4436,True
1325,1325,lyr_00154,mil_0154,False
1330,1330,lyr_09625,mil_1371,True
1555,1555,lyr_11193,mil_1448,True
1413,1413,lyr_09938,mil_1448,True
1231,1231,lyr_09623,mil_4617,True
3,3,lyr_09467,mil_0565,True
28,28,lyr_09590,mil_3348,True
1284,1284,lyr_11218,mil_2669,True
948,948,lyr_11281,mil_3861,True
429,429,lyr_09619,mil_4436,True
801,801,lyr_09495,mil_1192,True
654,654,lyr_00118,mil_0118,False
1094,1094,lyr_11193,mil_1435,True
366,366,lyr_09467,mil_4669,True
158,158,lyr_00152,mil_0152,False
1291,1291,lyr_00446,mil_0446,False
693,693,lyr_09531,mil_4617,True
113,113,lyr_00031,mil_0031,False
910,910,lyr_09536,mil_1173,True
958,958,lyr_00420,mil_0420,False
172,172,lyr_09452,mil_3568,True
633,633,lyr_00125,mil_0125,False
326,326,lyr_09561,mil_1585,True
1161,1161,lyr_11286,mil_3568,True
1532,1532,lyr_09514,mil_4593,True
1332,1332,lyr_09547,mil_0626,True
1292,1292,lyr_00108,mil_0108,False
763,763,lyr_09526,mil_3974,True
710,710,lyr_00343,mil_0343,False
1176,1176,lyr_09481,mil_4769,True
713,713,lyr_00060,mil_0060,False
296,296,lyr_00394,mil_0394,False
1088,1088,lyr_09619,mil_2643,True
265,265,lyr_09457,mil_3043,True
37,37,lyr_09425,mil_1778,True
630,630,lyr_00056,mil_0056,False
1507,1507,lyr_00044,mil_0044,False
568,568,lyr_09539,mil_4617,True
670,670,lyr_00488,mil_0488,False
53,53,lyr_00496,mil_0496,False
1363,1363,lyr_09597,mil_0626,True
675,675,lyr_09539,mil_1398,True
343,343,lyr_00158,mil_0158,False
514,514,lyr_11289,mil_2694,True
1339,1339,lyr_00163,mil_0163,False
1388,1388,lyr_11279,mil_2669,True
1374,1374,lyr_11209,mil_3127,True
1090,1090,lyr_09938,mil_2511,True
1395,1395,lyr_00359,mil_0359,False
222,222,lyr_09947,mil_4420,True
1095,1095,lyr_00099,mil_0099,False
1488,1488,lyr_00078,mil_0078,False
1013,1013,lyr_09442,mil_2283,True
834,834,lyr_09547,mil_3110,True
743,743,lyr_09552,mil_0966,True
1568,1568,lyr_00273,mil_0273,False
402,402,lyr_00093,mil_0093,False
1283,1283,lyr_11289,mil_4345,True
1443,1443,lyr_11286,mil_4669,True
1347,1347,lyr_09575,mil_1598,True
436,436,lyr_09619,mil_0966,True
735,735,lyr_09477,mil_3186,True
348,348,lyr_09463,mil_0288,True
1362,1362,lyr_09597,mil_1296,True
1030,1030,lyr_00115,mil_0115,False
21,21,lyr_09501,mil_4763,True
231,231,lyr_00448,mil_0448,False
946,946,lyr_09946,mil_3125,True
432,432,lyr_11211,mil_3491,True
128,128,lyr_00200,mil_0200,False
1310,1310,lyr_00144,mil_0144,False
1430,1430,lyr_09499,mil_0626,True
1108,1108,lyr_09431,mil_2141,True
319,319,lyr_09607,mil_0676,True
349,349,lyr_09452,mil_4345,True
841,841,lyr_00480,mil_0480,False
861,861,lyr_00288,mil_0288,False
724,724,lyr_11190,mil_4431,True
146,146,lyr_09547,mil_4436,True
382,382,lyr_09499,mil_2694,True
136,136,lyr_00127,mil_0127,False
241,241,lyr_11279,mil_3043,True
797,797,lyr_11209,mil_1598,True
420,420,lyr_00232,mil_0232,False
1144,1144,lyr_09467,mil_1192,True
1290,1290,lyr_09947,mil_1192,True
612,612,lyr_11286,mil_3124,True
1404,1404,lyr_09931,mil_3197,True
342,342,lyr_11211,mil_2069,True
526,526,lyr_00268,mil_0268,False
1145,1145,lyr_00495,mil_0495,False
1148,1148,lyr_11274,mil_0238,True
1288,1288,lyr_09623,mil_1516,True
392,392,lyr_09496,mil_0288,True
784,784,lyr_11289,mil_1192,True
678,678,lyr_09933,mil_2239,True
674,674,lyr_09527,mil_3568,True
642,642,lyr_00135,mil_0135,False
752,752,lyr_09423,mil_0009,True
816,816,lyr_09545,mil_1192,True
890,890,lyr_00296,mil_0296,False
703,703,lyr_00271,mil_0271,False
1309,1309,lyr_00437,mil_0437,False
1423,1423,lyr_00342,mil_0342,False
94,94,lyr_00025,mil_0025,False
233,233,lyr_00206,mil_0206,False
1114,1114,lyr_09461,mil_4097,True
